image_name,question,answer,question_type
synpic52767.jpg,Is a pneumothorax present near the right lung field?,Yes,PRES
synpic52767.jpg,Is/Are there a pneumothorax in the patient's right lung?,Yes,PRES
synpic21776.jpg,Is/Are the heart narrowed?,Yes,SIZE
synpic21776.jpg,Is/Are the heart narrowed?,Yes,SIZE
synpic42245.jpg,Are there any fractures in any of the ribs?,No,PRES
synpic42245.jpg,Is/Are there fractures in the patient's ribs?,No,PRES
synpic42245.jpg,Are any of the patient's ribs fractured?,No,PRES
synpic42245.jpg,Is/Are there fractures in the patient's ribs?,No,PRES
synpic40272.jpg,Is there pulmonary edema,no,PRES
synpic40272.jpg,Is/Are the pulmonary vessels enlarged?,no,SIZE
synpic52767.jpg,Is/Are the cardiac contour normal?,Yes,ATTRIB
synpic40272.jpg,is it difficult to delineate the left costophrenic angle?,yes,PRES
synpic40272.jpg,Is/Are there blunting in the patient's left costophrenic angle?,yes,PRES
synpic40272.jpg,Is there blunting of the left costophrenic angle?,yes,PRES
synpic40272.jpg,Is/Are there blunting in the patient's left costophrenic angle?,yes,PRES
synpic33422.jpg,Is/Are there pneumothorax in the patient's left lung field?,Yes,PRES
synpic33422.jpg,Is/Are there pneumothorax in the patient's left lung field?,Yes,PRES
synpic33422.jpg,Is/Are there midline shift?,No,PRES
synpic33422.jpg,Is/Are there midline shift?,No,PRES
synpic40272.jpg,Is/Are the left lung radioopaque?,yes,COLOR
synpic40272.jpg,Is/Are the left lung radioopaque?,yes,COLOR
synpic42245.jpg,Are the costophrenic angles sharp?,yes,PRES
synpic42245.jpg,Is/Are there no blunting in the patient's costophrenic angles?,yes,PRES
synpic42245.jpg,Is there no evidence of blunting of the costophrenic angles?,yes,PRES
synpic42245.jpg,Is/Are there no blunting in the patient's costophrenic angles?,yes,PRES
synpic21776.jpg,is the lung parenchyma well visualized?,yes,PRES
synpic40272.jpg,are the heart and lungs displayed well in this film,yes,ORGAN
synpic31400.jpg,Any abnormal findings in the lower lung fields?,no,ABN
synpic31400.jpg,Is/Are there abnormalities in the patient's lower lung?,no,ABN
synpic31400.jpg,Are the lower lung fields normal?,yes,ABN
synpic31400.jpg,Is/Are there abnormalities in the patient's lower lung?,yes,ABN
synpic32933.jpg,Is the left hemidiaphragm normal?,Yes,ABN
synpic32933.jpg,Is this image normal?,Yes,ABN
synpic32933.jpg,Is the left hemidiaphragm normal?,Yes,ABN
synpic32933.jpg,Is this image normal?,Yes,ABN
synpic49914.jpg,Is this a chest x-ray?,yes,MODALITY
synpic18461.jpg,Is this a lateral film?,no,PLANE
synpic49914.jpg,Is this a study of the chest?,yes,ORGAN
synpic21044.jpg,Is the hila normal or enlarged?,Enlarged,ATTRIB
synpic18461.jpg,Are the lungs normal?,No,ABN
synpic18461.jpg,Is/Are the lung normal?,No,ABN
synpic18461.jpg,Is the chest x-ray normal?,No,ABN
synpic18461.jpg,Is this image normal?,No,ABN
synpic49914.jpg,Is/Are the lung normal?,No,ABN
synpic49914.jpg,Is this image normal?,No,ABN
synpic32933.jpg,Is this image normal?,No,ABN
synpic32933.jpg, Is/Are the right hemidiaphragm normal?,No,ABN
synpic21044.jpg,Is the heart abnormal?,Yes,ABN
synpic21044.jpg,Does the heart appear enlarged?,Yes,SIZE
synpic21044.jpg,Is/Are the heart enlarged? -yes/no,Yes,SIZE
synpic39532.jpg,Is/Are there a pneumothorax present?,No,PRES
synpic17664.jpg,Do the lung markings extend to the periphery?,Yes,PRES
synpic17664.jpg,Is a pneumothorax present in this image?,No,PRES
synpic47783.jpg,Does the width of the heart exceed more than half of the thorax?,No,SIZE
synpic47783.jpg,How wide is/are the cardiac shadow? -open,No,SIZE
synpic31955.jpg,Is the diaphragm obscured?,No,PRES
synpic31955.jpg,Is/Are the diaphragm obscured?,No,PRES
synpic31955.jpg,Is the diaphragm clearly visualized on both sides?,Yes,PRES
synpic31955.jpg,Is/Are the diaphragm visualized?,Yes,PRES
synpic45557.jpg,Are nodular calcifications present in the lungs?,No,PRES
synpic34449.jpg,Are the calcifications superior or inferior to the diaphragm?,Superior,POS
synpic45557.jpg,Do bones appear lighter on this image's modality?,yes,MODALITY
synpic39532.jpg,Is there more that one lesion present?,No,COUNT
synpic39532.jpg,Is/Are there more than one lesion present?,No,COUNT
synpic17664.jpg,Is/Are the diaphragm visualized?,Yes,PRES
synpic17664.jpg,Is/Are the diaphragm obscured?,No,PRES
synpic24390.jpg,Is/Are the heart wider than more than half the width of the thorax?,No,SIZE
synpic23803.jpg,Is/Are the free air under the left hemidiaphragm  pathologic?,No,PRES
synpic23803.jpg,Is/Are the free air under the left hemidiaphragm  pathologic?,No,PRES
synpic34449.jpg,Is this an AP image?,no,PLANE
synpic19782.jpg,Are calcified lesions present in the lung fields?,No,PRES
synpic19782.jpg,Is there evidence of large calcified lesions in the lung fields?,No,PRES
synpic19782.jpg,Is/Are there calcified lesions in the patient's lung fields?,No,PRES
synpic19782.jpg,Is/Are there free air in the patient's supraclavicular fossae?,Yes,PRES
synpic23053.jpg,Is the air under the left hemidiaphragm pathologic?,No,ABN
synpic23053.jpg,Is/Are the air under the left hemidiaphragm pathologic?,No,ABN
synpic23053.jpg,Is there free air under the left diaphragm?,No,PRES
synpic23053.jpg,Is/Are there free air in the patient's subdiaphram?,No,PRES
synpic24390.jpg,Is this image of the thorax?,yes,ORGAN
synpic24390.jpg,Is this image a CT scan?,no,MODALITY
synpic24390.jpg,Is the largest air collection on the patient's left or the right side?,Right side,POS
synpic13385.jpg,Is the air under the left hemidiaphragm pathologic?,No,ABN
synpic13385.jpg,Is/Are the air under the left hemidiaphragm pathologic?,No,ABN
synpic13385.jpg,Is subdiaphragmatic air present on the left side?,No,PRES
synpic13385.jpg,Is/Are there subdiaphragmatic air in the patient's left side? ,No,PRES
synpic47783.jpg,Is there a mass in the right hilum?,No,PRES
synpic47783.jpg,Is/Are there a mass in the patient's right hilum?,No,PRES
synpic47783.jpg,Is there evidence of a mass lesion at the right hilum?,No,PRES
synpic47783.jpg,Is/Are there a mass in the patient's right hilum?,No,PRES
synpic31962.jpg,Is there a fracture on the left 5th rib?,No,PRES
synpic31962.jpg,Is/Are there fracture in the patient's 5th rib?,No,PRES
synpic31962.jpg,Is the left fifth rib broken?,No,PRES
synpic31962.jpg,Is/Are there fracture in the patient's 5th rib?,No,PRES
synpic24390.jpg,Is subcutaneous air present?,No,PRES
synpic24390.jpg,Is/Are there subcutaneous air present?,No,PRES
synpic24390.jpg,Is there evidence of subcutaneous air collection?,No,PRES
synpic24390.jpg,Is/Are there subcutaneous air present?,No,PRES
synpic45557.jpg,Are any ribs in the image fractured?,No,PRES
synpic45557.jpg,Is/Are there fracture in the patient's  ribs?,No,PRES
synpic45557.jpg,Are there any fractures present?,No,PRES
synpic45557.jpg,Is/Are there any fractures present?,No,PRES
synpic34449.jpg,Is/Are there subcutaneous air present in the patient's right neck?,Yes,PRES
synpic23053.jpg,Is the opacity near the left lung apex pathologic?,No,ABN
synpic23053.jpg,Is/Are the opacity near the left lung apex pathologic?,No,ABN
synpic13385.jpg,Is/Are there a pneumonthorax in the patient's left apex?,No,PRES
synpic31962.jpg,Is there any inappropriate air collection in subcutaneous tissue?,No,PRES
synpic31962.jpg,Is/Are there subcutaneous air present?,No,PRES
synpic31962.jpg,Is subcutaneous air present?,No,PRES
synpic31962.jpg,Is/Are there subcutaneous air present?,No,PRES
synpic45557.jpg,Is the costophrenic angle blunted?,Yes,"PRES, ATTRIB"
synpic45557.jpg,Is/Are the costophrenic angle blunted? -yes/no,Yes,"PRES, ATTRIB"
synpic31916.jpg,Is this film properly exposed?,yes,MODALITY
synpic24538.jpg,Is the heart dilated?,No,SIZE
synpic19118.jpg,Are these small opacities in the right lung calcifications?,No,PRES
synpic52951.jpg,Is there any shifting on the path of the trachea?,No,PRES
synpic52951.jpg,Is this a solitary nodule?,Yes,PRES
synpic31916.jpg,Is the right lung normal in size?,No,SIZE
synpic19118.jpg,Is this a cyst in the left lung?,No,POS
synpic31916.jpg,Is the stomach dilated?,no,SIZE
synpic33226.jpg,Is the heart a normal size?,Yes,SIZE
synpic33226.jpg,Is/Are the heart size normal?,Yes,SIZE
synpic33226.jpg,Is the heart size normal?,Yes,SIZE
synpic33226.jpg,Is/Are the heart size normal?,Yes,SIZE
synpic50943.jpg,Can a pulmonary mass be appreciated?,no,PRES
synpic50943.jpg,Is a pulmonary mass present?,no,PRES
synpic44865.jpg,Is this a solid or cystic lesion?,Solid,ATTRIB
synpic44865.jpg,Is the lesion a solid or cystic lesion?,Solid,ATTRIB
synpic16810.jpg,Is this in the PA plane?,yes,PLANE
synpic50943.jpg,Is there anything abnormal about the heart size?,Yes,SIZE
synpic50943.jpg,Is the heart enlarged?,Yes,SIZE
synpic50943.jpg,Is/Are the heart enlarged?,Yes,SIZE
synpic28378.jpg,Is this patient male or female?,Female,OTHER
synpic33226.jpg,Can this image highlight bone fractures (if present)?,yes,MODALITY
synpic60423.jpg,Can you appreciate a pleural effusion?,no,PRES
synpic60423.jpg,Is/Are there a pleural effusion?,no,PRES
synpic60423.jpg,Is a pleural effusion present?,no,PRES
synpic60423.jpg,Is/Are there a pleural effusion?,no,PRES
synpic60423.jpg,Is the heart enlarged?,No,SIZE
synpic60423.jpg,Is/Are the heart enlarged?,No,SIZE
synpic60423.jpg,Is the heart size increased?,No,SIZE
synpic60423.jpg,Is/Are the heart enlarged?,No,SIZE
synpic27402.jpg,Is this image sufficient for a diagnosis?,No,OTHER
synpic27402.jpg,Is the image enough to diagnose?,No,OTHER
synpic50943.jpg,Is there a right-sided pleural effusion?,no,PRES
synpic50943.jpg,Is/Are there a pleural effusion?,no,PRES
synpic50943.jpg,Is there an effusion present on the right-side?,no,PRES
synpic50943.jpg,Is/Are there a pleural effusion?,no,PRES
synpic16810.jpg,Do you see a pleural effusion?,No,PRES
synpic16810.jpg,Is/Are there a Pleural effusion?,No,PRES
synpic16810.jpg,Is a pleural effusion present?,No,PRES
synpic16810.jpg,Is/Are there a Pleural effusion?,No,PRES
synpic33226.jpg,Is a pleural effusion present?,No,PRES
synpic33226.jpg,Is/Are there a pleural effusion?,No,PRES
synpic33226.jpg,Is there a pleural effusion?,No,PRES
synpic33226.jpg,Is/Are there a pleural effusion?,No,PRES
synpic31248.jpg,Is the heart size abnormal?,No,SIZE
synpic31248.jpg,Is/Are the heart size abnormal?,No,SIZE
synpic31248.jpg,Is the heart enlarged?,No,SIZE
synpic31248.jpg,Is/Are the heart enlarged? ,No,SIZE
synpic16810.jpg,Can you evaluate the kidneys 	bladde r	or ureters in this image?,No,PRES
synpic60423.jpg,Can you diagnose a pericardial effusion from this image?,No,OTHER
synpic60423.jpg,Is this image sufficient to diagnose pericardial effusion?,No,OTHER
synpic28378.jpg,Is there a pleural effusion present?,No,PRES
synpic28378.jpg,Is/Are there pleural effusion?,No,PRES
synpic28378.jpg,Is there a pleural effusion,No,PRES
synpic28378.jpg,Is/Are there pleural effusion?,No,PRES
synpic27402.jpg,Did this patient sustain physical damage?,no,OTHER
synpic27402.jpg,Do you suspect a physical injury?,no,OTHER
synpic44865.jpg,Can you see all of the ribs on the left side?,no,PRES
synpic44865.jpg,Can the left ribs be evaluated?,no,PRES
synpic31248.jpg,Can you appreciate a pleural effusion anywhere?,no,PRES
synpic31248.jpg,Is pleural effusion present?,no,PRES
synpic33226.jpg,Does the left humerus appear to be fractured?,No,PRES
synpic33226.jpg,Is/Are the humerus fractured?,No,PRES
synpic33226.jpg,Is there a fracture of the left humerus?,No,PRES
synpic33226.jpg,Are both lungs abnormally inflated?,no,ABN
synpic44865.jpg,Can a pleural effusion be appreciated on the right side?,no,PRES
synpic44865.jpg,Is/Are there a right pleural effusion?,no,PRES
synpic44865.jpg,Is there a right-sided pleural effusion?,no,PRES
synpic44865.jpg,Is/Are there a right pleural effusion?,no,PRES
synpic32962.jpg,Is/Are there hylar lymphadenopathy?,yes,PRES
synpic32962.jpg,Is/Are there hylar lymphadenopathy?,yes,PRES
synpic32962.jpg,Is/Are there a widened mediastinum?,Yes,SIZE
synpic32962.jpg,Is/Are there a widened mediastinum?,Yes,SIZE
synpic18651.jpg,Does this image show heart failure?,yes,OTHER
synpic18651.jpg,is this heart failure,yes,OTHER
synpic18651.jpg,Is/Are the heart enlarged?,yes,SIZE
synpic18651.jpg,Is/Are the heart enlarged?,yes,SIZE
synpic46976.jpg,is the heart enlarged?,yes,SIZE
synpic46976.jpg,Is/Are the heart enlarged?,yes,SIZE
synpic46976.jpg,Is there cardiomegaly?,yes,SIZE
synpic46976.jpg,Is/Are the heart enlarged?,yes,SIZE
synpic32962.jpg,Is this coronal plane?,yes,PLANE
synpic46539.jpg,Is/Are there a pleural effusion?,yes,PRES
synpic46539.jpg,Is/Are there a pleural effusion?,yes,PRES
synpic51872.jpg,Is there a lung mass?,yes,PRES
synpic51872.jpg,Is/Are there a lung mass?,yes,PRES
synpic51872.jpg,Is there a mass in the lung?,yes,PRES
synpic51872.jpg,Is/Are there a lung mass?,yes,PRES
synpic31259.jpg,Is/Are there a mass?,yes,PRES
synpic31259.jpg,Is/Are there a mass?,yes,PRES
synpic23989.jpg,does this constitute a pulmonary pathology?,yes,ORGAN
synpic46539.jpg,Is this lesion loculated,no,PRES
synpic46539.jpg,Is/Are the lesion loculated? -yes/no,no,PRES
synpic46539.jpg,Is there loculation of this lesion?,no,PRES
synpic46539.jpg,Is/Are the lesion loculated? -yes/no,no,PRES
synpic22037.jpg,Is this a standing CXR,no,MODALITY
synpic23989.jpg,is this an AP CXR,yes,MODALITY
synpic22037.jpg,is the pulmonary system shown?,yes,ORGAN
synpic55464.jpg,Is the mediastinum widened?,yes,SIZE
synpic55464.jpg,Is/Are there a widened mediastinum?,yes,SIZE
synpic55464.jpg,Is there a widened mediastium?,yes,SIZE
synpic55464.jpg,Is/Are there a widened mediastinum?,yes,SIZE
synpic46976.jpg,Is/Are there increased vascular markings? ,yes,PRES
synpic46976.jpg,Is/Are the vascular markings increased?,yes,PRES
synpic32962.jpg,Doe this image depict an interstitial lung process?,yes,PRES
synpic32962.jpg,Is/Are there interstitial process in the patient's lungs?,yes,PRES
synpic32962.jpg,Is there an interstitial lung process?,yes,PRES
synpic32962.jpg,Is/Are there interstitial process in the patient's lungs?,yes,PRES
synpic55464.jpg,Is this a PA film?,yes,MODALITY
synpic55464.jpg,Does the pathology involve the CV system,yes,ORGAN
synpic22037.jpg,Is the chest xray underexposed?,yes,OTHER
synpic22037.jpg,Is this image underexposed?,yes,OTHER
synpic51872.jpg,Do you see a cavitary lesion in this chest xray?,yes,PRES
synpic51872.jpg,Is/Are there a cavitary lesion?,yes,PRES
synpic51872.jpg,is there a cavitary lesion?,yes,PRES
synpic51872.jpg,Is/Are there a cavitary lesion?,yes,PRES
synpic27047.jpg,Does this patient have cardiomegaly?,No,SIZE
synpic21042.jpg,Is this patient intubated?,No,PRES
synpic21042.jpg,Is this a PA image?,yes,PLANE
synpic33378.jpg,Does this patient have a pneumothorax?,Yes,PRES
synpic100132.jpg,Does this radiograph contain parts of the cardiovascular system?,yes,ORGAN
synpic100132.jpg,Is the heart enlarged?,No,SIZE
synpic33378.jpg,Does this patient have a pleural effusion?,No,PRES
synpic100132.jpg,Was this image taken in the AP or PA plane?,PA,PLANE
synpic28355.jpg,Does this xray show an intubated patient?,No,PRES
synpic21042.jpg,Does this image show a pneumothorax?,No,PRES
synpic100132.jpg,Is this a CT scan?,no,MODALITY
synpic28355.jpg,Is this xray suggestive of aortic dissection?,No,PRES
synpic16170.jpg,Does this patient have any fractured ribs?,No,PRES
synpic27047.jpg,Is there a clavicle fracture shown in this radiograph?,No,PRES
synpic21037.jpg,Does this patient have an endotracheal tube placed?,No,PRES
synpic21037.jpg,Does this CXR display pneumoperitoneum?,No,PRES
synpic21042.jpg,Does this image show a pleural effusion?,No,PRES
synpic17848.jpg,Is there evidence of pneumothorax?,No,PRES
synpic17848.jpg,Is/Are there pneumothorax?,No,PRES
synpic17848.jpg,Is there a pneumothorax?,No,PRES
synpic17848.jpg,Is/Are there pneumothorax?,No,PRES
synpic16407.jpg,Are the pulmonary arteries enlarged?,Yes,SIZE
synpic16407.jpg,Is/Are the pulmonary arteries enlarged?,Yes,SIZE
synpic16407.jpg,Do the pulmonary arteries appear enlarged?,Yes,SIZE
synpic16407.jpg,Is/Are the pulmonary arteries enlarged?,Yes,SIZE
synpic17848.jpg,Are the findings normal?,No,ABN
synpic17848.jpg,Is this image normal?,No,ABN
synpic17848.jpg,Is this a normal image?,No,ABN
synpic17848.jpg,Is this image normal?,No,ABN
synpic16407.jpg,Are the lungs hyperinflated?,Yes,PRES
synpic16407.jpg,Is/Are the lungs hyperinflated?,Yes,PRES
synpic16407.jpg,Do the lungs appear hyperinflated?,Yes,PRES
synpic16407.jpg,Is/Are the lungs hyperinflated?,Yes,PRES
synpic40520.jpg,Is/Are the trachea located near/in the midline?,Yes,PRES
synpic40520.jpg,Is the trachea midline?,Yes,PRES
synpic17848.jpg,Is this image best taken on expiration?,no,PLANE
synpic22097.jpg,Do you see fluid in the left lung?,Yes,PRES
synpic22097.jpg,Is/Are there fluid in the patient's left lung?,Yes,PRES
synpic22097.jpg,Is there fluid in the left lung?,Yes,PRES
synpic22097.jpg,Is/Are there fluid in the patient's left lung?,Yes,PRES
synpic40520.jpg,Does the heart appear normal size?,No,SIZE
synpic40520.jpg,Is/Are the heart normal size?,No,SIZE
synpic40520.jpg,Is the width of the cardiac silhouette normal?,No,SIZE
synpic40520.jpg,Is/Are the heart normal size?,No,SIZE
synpic32970.jpg,Are there any bone fractures present?,No,PRES
synpic32970.jpg,Is/Are there bone fractures?,No,PRES
synpic32970.jpg,Does the patient have any bone fractures?,No,PRES
synpic32970.jpg,Is/Are there bone fractures?,No,PRES
synpic27277.jpg,Are the patients' ribs symmetric on both sides?,No,"PRES, ATTRIB"
synpic27277.jpg,Is/Are there symmtery in the patient's ribs on both sides?,No,"PRES, ATTRIB"
synpic27277.jpg,Is there symmetry of the patient's ribs on both sides?,No,"PRES, ATTRIB"
synpic27277.jpg,Is/Are there symmtery in the patient's ribs on both sides?,No,"PRES, ATTRIB"
synpic31256.jpg,Is the heart enlarged?,no,SIZE
synpic31256.jpg,Is the heart enlarged?,no,SIZE
synpic31394.jpg,Is the image an CT scan?,no,MODALITY
synpic17145.jpg,Is there a pneumothorax seen in the above image?,No,PRES
synpic17145.jpg,Is/Are there a pneumothorax?,No,PRES
synpic17145.jpg,Is there a pneumothorax present?,No,PRES
synpic17145.jpg,Is/Are there a pneumothorax?,No,PRES
synpic31394.jpg,Does the heart look enlarged?,No,SIZE
synpic31394.jpg,Is/Are the heart enlarged ?,No,SIZE
synpic31394.jpg,Is the heart enlarged?,No,SIZE
synpic31394.jpg,Is/Are the heart enlarged ?,No,SIZE
synpic42805.jpg,Is the heart larger than normal?,No,SIZE
synpic42805.jpg,Is/Are the the heart enlarged?,No,SIZE
synpic42805.jpg,Is the heart enlarged?,No,SIZE
synpic42805.jpg,Is/Are the the heart enlarged?,No,SIZE
synpic17738.jpg,Is the heart enlarged?,No,SIZE
synpic17738.jpg,Is the heart enlarged?,No,SIZE
synpic17738.jpg,Is this a PA film?,yes,PLANE
synpic32970.jpg,Are there multiple lesions in the chest of the above patient?,No,PRES
synpic32970.jpg,Is there multiple lesions in the patient's chest?,No,PRES
synpic32970.jpg,Does this patient have multiple lesions in their chest?,No,PRES
synpic32970.jpg,Is there multiple lesions in the patient's chest?,No,PRES
synpic31394.jpg,Are the pulmonary nodules diffuse in the chest or lateralized to one side?,Diffuse,POS
synpic31394.jpg,Where are the pulmonary nodules located?,Diffuse,POS
synpic31394.jpg,Is the location of the pulmonary nodules diffuse or lateralized to one side?,Diffuse,POS
synpic31394.jpg,Where are the pulmonary nodules located?,Diffuse,POS
synpic33481.jpg,Are the lesions only in one lobe?,No,POS
synpic33481.jpg,Is/Are the lesions located near/in the one lobe?,No,POS
synpic33481.jpg,Are the opacities confined to one lung lobe?,No,POS
synpic33481.jpg,Is/Are the lesions located near/in the one lobe?,No,POS
synpic33331.jpg,Is this a mid-sagittal film?,no,PLANE
synpic33429.jpg,Is there free air under the diaphragm?,No,PRES
synpic33429.jpg,Is/Are there air in the abdomen?,No,PRES
synpic33429.jpg,Is there air in the abdominal cavity?,No,PRES
synpic33429.jpg,Is/Are there air in the abdomen?,No,PRES
synpic16221.jpg,Is this an axial image?,no,PLANE
synpic17675.jpg,Is there free air under the diaphragm?,No,PRES
synpic17675.jpg,Is/Are there free air in the patient's (under the) diaphragm?,No,PRES
synpic17675.jpg,Is subdiaphragmatic free air present?,No,PRES
synpic17675.jpg,Is/Are there free air in the patient's (under the) diaphragm?,No,PRES
synpic33302.jpg,Are there any consolidations present in the lungs?,No,PRES
synpic33302.jpg,Is/Are there pulmonary consolidations?,No,PRES
synpic33302.jpg,Are there any pulmonary consolidations?,No,PRES
synpic33302.jpg,Is/Are there pulmonary consolidations?,No,PRES
synpic33331.jpg,Is the heart shadow abnormally large?,No,SIZE
synpic33331.jpg,Is/Are the heart shadow abnormally large?,No,SIZE
synpic33331.jpg,Is the cardiac silhouette enlarged?,No,SIZE
synpic33331.jpg,Is/Are the heart shadow abnormally large?,No,SIZE
synpic24350.jpg,Is there a pneumothorax?,No,PRES
synpic24350.jpg,Is/Are there pneumothorax?,No,PRES
synpic24350.jpg,Is a pneumothorax present?,No,PRES
synpic24350.jpg,Is/Are there pneumothorax?,No,PRES
synpic45610.jpg,Is/Are the trachea normal?,No,ABN
synpic45610.jpg,Is/Are the trachea normal?,Yes,PRES
synpic16221.jpg,Is there pneumothorax?,No,OTHER
synpic33429.jpg,What is/are the free air near/in the thorax?,No,PRES
synpic33429.jpg,What is/are the free air near/in the thorax?,No,PRES
synpic17675.jpg,Are there cilia present at the level of alveoli?,no,PRES
synpic33331.jpg,Are any of the ribs fractured?,No,PRES
synpic33331.jpg,Is/Are the ribs fractured? -yes/no,No,PRES
synpic33331.jpg,Are there rib fractures present?,No,PRES
synpic33331.jpg,Is/Are the ribs fractured? -yes/no,No,PRES
synpic33481.jpg,Does a blocked alveoli cause a V/Q mismatch?,yes,OTHER
synpic16221.jpg,Is the trachea deviated from midline?,No,PRES
synpic16221.jpg,Is/Are there tracheal deviation?,No,PRES
synpic16221.jpg,Is there tracheal deviation?,No,PRES
synpic16221.jpg,Is/Are there tracheal deviation?,No,PRES
synpic17675.jpg,Can x rays be used to identify liver lesions?,no,OTHER
synpic33481.jpg,Are the hemidiaphragms flattened?,No,ATTRIB
synpic33481.jpg,Is/Are the diaphragm  flattened? -yes/no,No,ATTRIB
synpic33481.jpg,Is the diaphragm flattened on either side,No,ATTRIB
synpic33481.jpg,Is/Are the diaphragm  flattened? -yes/no,No,ATTRIB
synpic45610.jpg,Is the cardiac silhouette enlarged?,No,SIZE
synpic45610.jpg,Is/Are the heart size abnormal?,No,SIZE
synpic45610.jpg,Is the heart size abnormal,No,SIZE
synpic45610.jpg,Is/Are the heart size abnormal?,No,SIZE
synpic33481.jpg,Is the aorta abnormally wide?,No,SIZE
synpic33481.jpg,is the aortic knob widened?,No,SIZE
synpic33481.jpg,Is the aortic knob widened?,No,SIZE
synpic33481.jpg,is the aortic knob widened?,No,SIZE
synpic24350.jpg,Is the trachea normal?,Yes,PRES
synpic24350.jpg,Is/Are the trachea normal?,Yes,PRES
synpic24350.jpg,Is the trachea midline?,Yes,PRES
synpic24350.jpg,Is the trachea midline?,Yes,PRES
synpic17675.jpg,Is there a pneumothorax?,No,PRES
synpic17675.jpg,Is/Are there pneumothorax?,No,PRES
synpic17675.jpg,Is a pneuomothorax present?,No,PRES
synpic17675.jpg,Is/Are there pneumothorax?,No,PRES
synpic33302.jpg,Is/Are there pneumothorax?,No,PRES
synpic33302.jpg,Is/Are there pneumothorax?,No,PRES
synpic26413.jpg,Are the clavicles fractured?,No,PRES
synpic26413.jpg,Is/Are there clavicular fracture?,No,PRES
synpic26413.jpg,Is a clavicular fracture present?,No,PRES
synpic26413.jpg,Is/Are there clavicular fracture?,No,PRES
synpic24350.jpg,Is a pleural effusion present?,No,PRES
synpic24350.jpg,Is/Are there pleural effusion?,No,PRES
synpic24350.jpg,Is there a pleural effusion?,No,PRES
synpic24350.jpg,Is/Are there pleural effusion?,No,PRES
synpic45610.jpg,Is/Are the diaphragm flat? -yes/no,No,ATTRIB
synpic45610.jpg,Is/Are the diaphragm flat? -yes/no,No,ATTRIB
synpic27646.jpg,Is there lymphadenopathy?,No,PRES
synpic27646.jpg,Is there lymphadenopathy?,No,PRES
synpic27646.jpg,Is lymphadenopathy present?,No,PRES
synpic27646.jpg,Is there lymphadenopathy?,No,PRES
synpic31217.jpg,Is this an image of normal physiology?,No,ABN
